slug,scientific_name,common_name,genus,family
allium-cepa,Allium cepa,Shallot,Allium,Amaryllidaceae
allium-sativum,Allium sativum,Garlic,Allium,Amaryllidaceae
allium-ursinum,Allium ursinum,Bear garlic,Allium,Amaryllidaceae
alnus-glutinosa,Alnus glutinosa,European alder,Alnus,Betulaceae
alnus-incana,Alnus incana,Grey alder,Alnus,Betulaceae
aloe-vera,Aloe vera,Barbados aloe,Aloe,Asphodelaceae
alopecurus-geniculatus,Alopecurus geniculatus,Marsh foxtail,Alopecurus,Poaceae
alopecurus-pratensis,Alopecurus pratensis,Meadow foxtail,Alopecurus,Poaceae
alpinia-officinarum,Alpinia officinarum,Chinese-ginger,Alpinia,Zingiberaceae
alstonia-constricta,Alstonia constricta,,Alstonia,Apocynaceae
amaranthus-hypochondriacus,Amaranthus hypochondriacus,Prince's-feather,Amaranthus,Amaranthaceae
ammi-majus,Ammi majus,Bishop's-weed,Ammi,Apiaceae
anacamptis-pyramidalis,Anacamptis pyramidalis,Pyramid orchid,Anacamptis,Orchidaceae
anacardium-occidentale,Anacardium occidentale,Cashew,Anacardium,Anacardiaceae
anacyclus-pyrethrum,Anacyclus pyrethrum,Atlas daisy,Anacyclus,Asteraceae
anamirta-cocculus,Anamirta cocculus,,Anamirta,Menispermaceae
ananas-comosus,Ananas comosus,Pineapple,Ananas,Bromeliaceae
anemarrhena-asphodeloides,Anemarrhena asphodeloides,,Anemarrhena,Asparagaceae
anethum-graveolens,Anethum graveolens,Garden dill,Anethum,Apiaceae
angelica-archangelica,Angelica archangelica,Garden angelica,Angelica,Apiaceae
angelica-dahurica,Angelica dahurica,Dahurian angelica,Angelica,Apiaceae
angelica-sinensis,Angelica sinensis,,Angelica,Apiaceae
angelica-sylvestris,Angelica sylvestris,Wild angelica,Angelica,Apiaceae
annona-squamosa,Annona squamosa,Custard-apple,Annona,Annonaceae
antennaria-dioica,Antennaria dioica,Cat's-foot,Antennaria,Asteraceae
anthemis-cotula,Anthemis cotula,Foetid chamomile,Anthemis,Asteraceae
anthoxanthum-odoratum,Anthoxanthum odoratum,Scented vernal grass,Anthoxanthum,Poaceae
anthriscus-cerefolium,Anthriscus cerefolium,Chervil,Anthriscus,Apiaceae
anthriscus-sylvestris,Anthriscus sylvestris,Cow-parsley,Anthriscus,Apiaceae
anthyllis-vulneraria,Anthyllis vulneraria,Kidney-vetch,Anthyllis,Fabaceae
aphanes-arvensis,Aphanes arvensis,Field parsley piert,Aphanes,Rosaceae
apium-graveolens,Apium graveolens,Celery,Apium,Apiaceae
aquilegia-vulgaris,Aquilegia vulgaris,European columbine,Aquilegia,Ranunculaceae
arabidopsis-thaliana,Arabidopsis thaliana,Mouse-ear cress,Arabidopsis,Brassicaceae
aralia-racemosa,Aralia racemosa,Indianroot,Aralia,Araliaceae
arbutus-unedo,Arbutus unedo,Irish strawberry-tree,Arbutus,Ericaceae
arctium-lappa,Arctium lappa,Beggar's-buttons,Arctium,Asteraceae
arctium-minus,Arctium minus,Common burdock,Arctium,Asteraceae
arctostaphylos-uva-ursi,Arctostaphylos uva-ursi,Bear-grape,Arctostaphylos,Ericaceae
arenaria-serpyllifolia,Arenaria serpyllifolia,Thyme-leaf sandwort,Arenaria,Caryophyllaceae
argemone-mexicana,Argemone mexicana,Bermuda thistle,Argemone,Papaveraceae
argentina-anserina,Argentina anserina,,Argentina,Rosaceae
aria-edulis,Aria edulis,,Aria,Rosaceae
arisaema-amurense,Arisaema amurense,,Arisaema,Araceae
aristolochia-clematitis,Aristolochia clematitis,Birthwort,Aristolochia,Aristolochiaceae
armoracia-rusticana,Armoracia rusticana,Horse-radish,Armoracia,Brassicaceae
arnica-montana,Arnica montana,European arnica,Arnica,Asteraceae
arrhenatherum-elatius,Arrhenatherum elatius,Ray-grass-de-france,Arrhenatherum,Poaceae
artemisia-abrotanum,Artemisia abrotanum,Old-man,Artemisia,Asteraceae
artemisia-absinthium,Artemisia absinthium,Absinthe,Artemisia,Asteraceae
artemisia-annua,Artemisia annua,Annual wormwood,Artemisia,Asteraceae
artemisia-capillaris,Artemisia capillaris,,Artemisia,Asteraceae
artemisia-cina,Artemisia cina,,Artemisia,Asteraceae
artemisia-dracunculus,Artemisia dracunculus,Russian tarragon,Artemisia,Asteraceae
artemisia-vulgaris,Artemisia vulgaris,Felonherb,Artemisia,Asteraceae
arum-maculatum,Arum maculatum,Adam-and-eve,Arum,Araceae
asclepias-tuberosa,Asclepias tuberosa,Pleurisy-root,Asclepias,Apocynaceae
aspalathus-linearis,Aspalathus linearis,Rooibos,Aspalathus,Fabaceae
asparagus-officinalis,Asparagus officinalis,Asparagus,Asparagus,Asparagaceae
asparagus-racemosus,Asparagus racemosus,Asparagus-fern,Asparagus,Asparagaceae
aspidosperma-quebracho-blanco,Aspidosperma quebracho-blanco,Kebrako,Aspidosperma,Apocynaceae
asplenium-ruta-muraria,Asplenium ruta-muraria,Wall-rue,Asplenium,Aspleniaceae
asplenium-scolopendrium,Asplenium scolopendrium,Hart's-tongue fern,Asplenium,Aspleniaceae
asplenium-trichomanes,Asplenium trichomanes,Maidenhair spleenwort,Asplenium,Aspleniaceae
athyrium-filix-femina,Athyrium filix-femina,Common ladyfern,Athyrium,Aspleniaceae
atractylodes-macrocephala,Atractylodes macrocephala,,Atractylodes,Asteraceae
atriplex-patula,Atriplex patula,Common orache,Atriplex,Amaranthaceae
atriplex-prostrata,Atriplex prostrata,Fat-hen,Atriplex,Amaranthaceae
atropa-belladonna,Atropa belladonna,,Atropa,Solanaceae
avena-sativa,Avena sativa,Red oat,Avena,Poaceae
avenella-flexuosa,Avenella flexuosa,Wavy hairgrass,Avenella,Poaceae
avenula-pubescens,Avenula pubescens,,Avenula,Poaceae
azadirachta-indica,Azadirachta indica,Neem,Azadirachta,Meliaceae
bacopa-monnieri,Bacopa monnieri,Herb of grace,Bacopa,Plantaginaceae
ballota-nigra,Ballota nigra,Black horehound,Ballota,Lamiaceae
banisteriopsis-caapi,Banisteriopsis caapi,Ayahuasca,Banisteriopsis,Malpighiaceae
baptisia-tinctoria,Baptisia tinctoria,Horseflyweed,Baptisia,Fabaceae
bellis-perennis,Bellis perennis,Daisy,Bellis,Asteraceae
benincasa-hispida,Benincasa hispida,Chinese-watermelon,Benincasa,Cucurbitaceae
berberis-aquifolium,Berberis aquifolium,Mountain-grape,Berberis,Berberidaceae
berberis-vulgaris,Berberis vulgaris,European barberry,Berberis,Berberidaceae
beta-vulgaris,Beta vulgaris,Beet,Beta,Amaranthaceae
betonica-officinalis,Betonica officinalis,,Betonica,Lamiaceae
betula-pendula,Betula pendula,European white birch,Betula,Betulaceae
betula-pubescens,Betula pubescens,White birch,Betula,Betulaceae
bidens-tripartita,Bidens tripartita,Trifid bur-marigold,Bidens,Asteraceae
bixa-orellana,Bixa orellana,Arnatto,Bixa,Bixaceae
borago-officinalis,Borago officinalis,Beebread,Borago,Boraginaceae
boswellia-serrata,Boswellia serrata,Boswellia,Boswellia,Burseraceae
brachypodium-pinnatum,Brachypodium pinnatum,Heath false brome,Brachypodium,Poaceae
brachypodium-sylvaticum,Brachypodium sylvaticum,Slender false brome,Brachypodium,Poaceae
brachythecium-rutabulum,Brachythecium rutabulum,,Brachythecium,Brachytheciaceae
brassica-oleracea,Brassica oleracea,Cabbage,Brassica,Brassicaceae
briza-media,Briza media,Perennial quaking grass,Briza,Poaceae
bromus-erectus,Bromus erectus,Meadow brome,Bromus,Poaceae
bromus-hordeaceus,Bromus hordeaceus,Barley brome,Bromus,Poaceae
bromus-sterilis,Bromus sterilis,Barren brome,Bromus,Poaceae
bryonia-dioica,Bryonia dioica,,Bryonia,Cucurbitaceae
buddleja-davidii,Buddleja davidii,Orange-eye,Buddleja,Scrophulariaceae
bupleurum-chinense,Bupleurum chinense,,Bupleurum,Apiaceae
butea-monosperma,Butea monosperma,Bengal kino,Butea,Fabaceae
buxus-sempervirens,Buxus sempervirens,Caucasian boxwood,Buxus,Buxaceae
calamagrostis-canescens,Calamagrostis canescens,Purple smallreed,Calamagrostis,Poaceae
calamagrostis-epigejos,Calamagrostis epigejos,Bush grass,Calamagrostis,Poaceae
calendula-officinalis,Calendula officinalis,Calendula,Calendula,Asteraceae
calliergonella-cuspidata,Calliergonella cuspidata,,Calliergonella,Pylaisiaceae
calluna-vulgaris,Calluna vulgaris,Heather,Calluna,Ericaceae
caltha-palustris,Caltha palustris,Cowflock,Caltha,Ranunculaceae
calystegia-sepium,Calystegia sepium,Bearbind,Calystegia,Convolvulaceae
camellia-sinensis,Camellia sinensis,Black tea,Camellia,Theaceae
campanula-rotundifolia,Campanula rotundifolia,Meadowbell,Campanula,Campanulaceae
campanula-trachelium,Campanula trachelium,Bats-in-the-belfry,Campanula,Campanulaceae
cananga-odorata,Cananga odorata,Macassar oiltree,Cananga,Annonaceae
canella-winterana,Canella winterana,Canella,Canella,Canellaceae
cannabis-sativa,Cannabis sativa,Hemp,Cannabis,Cannabaceae
capparis-spinosa,Capparis spinosa,,Capparis,Capparaceae
capsella-bursa-pastoris,Capsella bursa-pastoris,Shepherd's-purse,Capsella,Brassicaceae
capsicum-annuum,Capsicum annuum,Red capsicum,Capsicum,Solanaceae
cardamine-flexuosa,Cardamine flexuosa,Greater bittercress,Cardamine,Brassicaceae
cardamine-hirsuta,Cardamine hirsuta,Common bittercress,Cardamine,Brassicaceae
cardamine-pratensis,Cardamine pratensis,Meadow cress,Cardamine,Brassicaceae
Cardiospermum ,Balloon Vine ,
carex-acuta,Carex acuta,Slender tufted-sedge,Carex,Cyperaceae
carex-acutiformis,Carex acutiformis,Lesser pond sedge,Carex,Cyperaceae
carex-arenaria,Carex arenaria,German-sarsaparilla,Carex,Cyperaceae
carex-canescens,Carex canescens,Silvery sedge,Carex,Cyperaceae
carex-caryophyllea,Carex caryophyllea,Spring sedge,Carex,Cyperaceae
carex-disticha,Carex disticha,Tworank sedge,Carex,Cyperaceae
carex-echinata,Carex echinata,Star sedge,Carex,Cyperaceae
carex-flacca,Carex flacca,Blue-green sedge,Carex,Cyperaceae
carex-hirta,Carex hirta,Hairy sedge,Carex,Cyperaceae
carex-leporina,Carex leporina,Oval sedge,Carex,Cyperaceae
carex-nigra,Carex nigra,Black sedge,Carex,Cyperaceae
carex-pallescens,Carex pallescens,Pale sedge,Carex,Cyperaceae
carex-panicea,Carex panicea,Carnat tong-grass,Carex,Cyperaceae
carex-paniculata,Carex paniculata,Greater tussock sedge,Carex,Cyperaceae
carex-pilulifera,Carex pilulifera,Pill sedge,Carex,Cyperaceae
carex-remota,Carex remota,Remote sedge,Carex,Cyperaceae
carex-rostrata,Carex rostrata,Bottle sedge,Carex,Cyperaceae
carex-sylvatica,Carex sylvatica,European woodland sedge,Carex,Cyperaceae
carica-papaya,Carica papaya,Pawpaw,Carica,Caricaceae
carlina-vulgaris,Carlina vulgaris,Carline thistle,Carlina,Asteraceae
carpinus-betulus,Carpinus betulus,European hornbeam,Carpinus,Betulaceae
carthamus-tinctorius,Carthamus tinctorius,Dyer's-saffron,Carthamus,Asteraceae
carum-carvi,Carum carvi,Caraway,Carum,Apiaceae
castanea-sativa,Castanea sativa,European chestnut,Castanea,Fagaceae
catha-edulis,Catha edulis,Khat,Catha,Celastraceae
caulophyllum-thalictroides,Caulophyllum thalictroides,Papooseroot,Caulophyllum,Berberidaceae
cedrus-libani,Cedrus libani,Cedar of lebanon,Cedrus,Pinaceae
celtis-australis,Celtis australis,European hackberry,Celtis,Cannabaceae
centaurea-cyanus,Centaurea cyanus,,Centaurea,Asteraceae
centaurea-jacea,Centaurea jacea,Brown knapweed,Centaurea,Asteraceae
centaurea-nigra,Centaurea nigra,Common knapweed,Centaurea,Asteraceae
centaurea-scabiosa,Centaurea scabiosa,Greater centaury,Centaurea,Asteraceae
centaurium-erythraea,Centaurium erythraea,European centaury,Centaurium,Gentianaceae
centella-asiatica,Centella asiatica,Marsh pennywort,Centella,Apiaceae
cerastium-arvense,Cerastium arvense,Field chickweed,Cerastium,Caryophyllaceae
cerastium-fontanum,Cerastium fontanum,Common mouse-ear,Cerastium,Caryophyllaceae
cerastium-glomeratum,Cerastium glomeratum,Mouse-ear chickweed,Cerastium,Caryophyllaceae
chaerophyllum-temulum,Chaerophyllum temulum,Rough chervil,Chaerophyllum,Apiaceae
chamaemelum-nobile,Chamaemelum nobile,Roman chamomile,Chamaemelum,Asteraceae
chelidonium-majus,Chelidonium majus,Celandine,Chelidonium,Papaveraceae
chelone-glabra,Chelone glabra,Balmony,Chelone,Plantaginaceae
chenopodium-album,Chenopodium album,Fat-hen,Chenopodium,Amaranthaceae
chimaphila-umbellata,Chimaphila umbellata,Pipsissewa,Chimaphila,Ericaceae
chionanthus-virginicus,Chionanthus virginicus,American fringetree,Chionanthus,Oleaceae
chondrodendron-tomentosum,Chondrodendron tomentosum,Pareira,Chondrodendron,Menispermaceae
chrysanthemum-morifolium,Chrysanthemum morifolium,,Chrysanthemum,Asteraceae
cichorium-intybus,Cichorium intybus,Belgium endive,Cichorium,Asteraceae
cinchona-officinalis,Cinchona officinalis,,Cinchona,Rubiaceae
cinnamomum-camphora,Cinnamomum camphora,Camphortree,Cinnamomum,Lauraceae
cinnamomum-verum,Cinnamomum verum,Cinnamon,Cinnamomum,Lauraceae
circaea-lutetiana,Circaea lutetiana,Enchanter's-nightshade,Circaea,Onagraceae
cirsium-arvense,Cirsium arvense,California thistle,Cirsium,Asteraceae
cirsium-oleraceum,Cirsium oleraceum,Cabbage thistle,Cirsium,Asteraceae
cirsium-palustre,Cirsium palustre,Marsh thistle,Cirsium,Asteraceae
cirsium-vulgare,Cirsium vulgare,Black thistle,Cirsium,Asteraceae
cistus-albidus,Cistus albidus,White-leaf rock-rose,Cistus,Cistaceae
cistus-ladanifer,Cistus ladanifer,Common gum cistus,Cistus,Cistaceae
citrus-limon,Citrus limon,,Citrus,Rutaceae
clematis-vitalba,Clematis vitalba,Old-man's-beard,Clematis,Ranunculaceae
clerodendrum-trichotomum,Clerodendrum trichotomum,Glorytree,Clerodendrum,Lamiaceae
clinopodium-vulgare,Clinopodium vulgare,Cushion calamint,Clinopodium,Lamiaceae
cochlearia-officinalis,Cochlearia officinalis,Scurvy-grass,Cochlearia,Brassicaceae
cocos-nucifera,Cocos nucifera,Coconut,Cocos,Arecaceae
codonopsis-pilosula,Codonopsis pilosula,,Codonopsis,Campanulaceae
coffea-arabica,Coffea arabica,Arabian coffee,Coffea,Rubiaceae
cola-acuminata,Cola acuminata,Abata cola,Cola,Malvaceae
colchicum-autumnale,Colchicum autumnale,Colchicum,Colchicum,Colchicaceae
coleus-forskohlii,Coleus forskohlii,,Coleus,Lamiaceae
collinsonia-canadensis,Collinsonia canadensis,Northern horsebalm,Collinsonia,Lamiaceae
comarum-palustre,Comarum palustre,Marsh cinquefoil,Comarum,Rosaceae
commiphora-mukul,Commiphora mukul,,Commiphora,Burseraceae
conium-maculatum,Conium maculatum,Carrot-fern,Conium,Apiaceae
convallaria-majalis,Convallaria majalis,Lily-of-the-valley,Convallaria,Asparagaceae
convolvulus-arvensis,Convolvulus arvensis,Field bindweed,Convolvulus,Convolvulaceae
copaifera-officinalis,Copaifera officinalis,Copaiba,Copaifera,Fabaceae
coptis-chinensis,Coptis chinensis,,Coptis,Ranunculaceae
coptis-trifolia,Coptis trifolia,American goldthread,Coptis,Ranunculaceae
coriandrum-sativum,Coriandrum sativum,Chinese-parsley,Coriandrum,Apiaceae
cornus-officinalis,Cornus officinalis,Japanese cornel,Cornus,Cornaceae
cornus-sanguinea,Cornus sanguinea,Common dogwood,Cornus,Cornaceae
coronilla-varia,Coronilla varia,,Coronilla,Fabaceae
corydalis-yanhusuo,Corydalis yanhusuo,,Corydalis,Papaveraceae
corylus-avellana,Corylus avellana,European filbert,Corylus,Betulaceae
crataegus-laevigata,Crataegus laevigata,Midland hawthorn,Crataegus,Rosaceae
crataegus-monogyna,Crataegus monogyna,Hawthorn,Crataegus,Rosaceae
crepis-capillaris,Crepis capillaris,Green crepis,Crepis,Asteraceae
crithmum-maritimum,Crithmum maritimum,,Crithmum,Apiaceae
croton-lechleri,Croton lechleri,Dragon's blood,Croton,Euphorbiaceae
cruciata-laevipes,Cruciata laevipes,Smooth bedstraw,Cruciata,Rubiaceae
cucurbita-pepo,Cucurbita pepo,Bitter bottle gourd,Cucurbita,Cucurbitaceae
cuminum-cyminum,Cuminum cyminum,Cumin,Cuminum,Apiaceae
cupressus-sempervirens,Cupressus sempervirens,Mediterranean cypress,Cupressus,Cupressaceae
curcuma-longa,Curcuma longa,Indian-saffron,Curcuma,Zingiberaceae
curcuma-zedoaria,Curcuma zedoaria,Zedoary,Curcuma,Zingiberaceae
cuscuta-epithymum,Cuscuta epithymum,Clover dodder,Cuscuta,Convolvulaceae
cydonia-oblonga,Cydonia oblonga,Quince,Cydonia,Rosaceae
cymbalaria-muralis,Cymbalaria muralis,Kenilworth ivy,Cymbalaria,Plantaginaceae
cymbopogon-citratus,Cymbopogon citratus,Lemongrass,Cymbopogon,Poaceae
cynosurus-cristatus,Cynosurus cristatus,Crested dog's-tail,Cynosurus,Poaceae
cyperus-esculentus,Cyperus esculentus,Earth-almond,Cyperus,Cyperaceae
cystopteris-fragilis,Cystopteris fragilis,Brittle bladder fern,Cystopteris,Aspleniaceae
cytisus-scoparius,Cytisus scoparius,European broom,Cytisus,Fabaceae
dactylis-glomerata,Dactylis glomerata,Barnyard grass,Dactylis,Poaceae
dactylorhiza-fuchsii,Dactylorhiza fuchsii,Common spotted orchid,Dactylorhiza,Orchidaceae
dactylorhiza-maculata,Dactylorhiza maculata,Heath spotted orchid,Dactylorhiza,Orchidaceae
danthonia-decumbens,Danthonia decumbens,Heath grass,Danthonia,Poaceae
daphne-mezereum,Daphne mezereum,Mezereon,Daphne,Thymelaeaceae
datura-stramonium,Datura stramonium,Thorn-apple,Datura,Solanaceae
daucus-carota,Daucus carota,Carrot,Daucus,Apiaceae
deschampsia-cespitosa,Deschampsia cespitosa,Tufted hairgrass,Deschampsia,Poaceae
dianthus-superbus,Dianthus superbus,Fringed pink,Dianthus,Caryophyllaceae
dicranum-scoparium,Dicranum scoparium,,Dicranum,Dicranaceae
dictamnus-albus,Dictamnus albus,Burningbush,Dictamnus,Rutaceae
digitalis-lutea,Digitalis lutea,Straw foxglove,Digitalis,Plantaginaceae
digitalis-purpurea,Digitalis purpurea,Foxglove,Digitalis,Plantaginaceae
dioscorea-communis,Dioscorea communis,Black-bindweed,Dioscorea,Dioscoreaceae
dioscorea-villosa,Dioscorea villosa,Wild yam,Dioscorea,Dioscoreaceae
dipsacus-fullonum,Dipsacus fullonum,Common teasel,Dipsacus,Caprifoliaceae
dorstenia-contrajerva,Dorstenia contrajerva,Snakewort,Dorstenia,Moraceae
draba-verna,Draba verna,,Draba,Brassicaceae
drosera-rotundifolia,Drosera rotundifolia,Round-leaf sundew,Drosera,Droseraceae
dryopteris-carthusiana,Dryopteris carthusiana,Spinulose woodfern,Dryopteris,Polypodiaceae
dryopteris-dilatata,Dryopteris dilatata,Mountain wood fern,Dryopteris,Polypodiaceae
dryopteris-filix-mas,Dryopteris filix-mas,Male fern,Dryopteris,Polypodiaceae
echinacea-purpurea,Echinacea purpurea,Eastern purple-coneflower,Echinacea,Asteraceae
echinochloa-crus-galli,Echinochloa crus-galli,Barnyardgrass,Echinochloa,Poaceae
echium-vulgare,Echium vulgare,Blue echium,Echium,Boraginaceae
eclipta-prostrata,Eclipta prostrata,White twinheads,Eclipta,Asteraceae
eleocharis-palustris,Eleocharis palustris,Creeping spike-rush,Eleocharis,Cyperaceae
elettaria-cardamomum,Elettaria cardamomum,Cardamom,Elettaria,Zingiberaceae
eleutherococcus-senticosus,Eleutherococcus senticosus,Siberian-ginseng,Eleutherococcus,Araliaceae
elymus-repens,Elymus repens,Quackgrass,Elymus,Poaceae
embelia-ribes,Embelia ribes,Vidanga,Embelia,Primulaceae
empetrum-nigrum,Empetrum nigrum,Curlew-berry,Empetrum,Ericaceae
entada-phaseoloides,Entada phaseoloides,Matchbox-bean,Entada,Fabaceae
ephedra-sinica,Ephedra sinica,Chinese ephedra,Ephedra,Ephedraceae
epilobium-ciliatum,Epilobium ciliatum,American willowherb,Epilobium,Onagraceae
epilobium-hirsutum,Epilobium hirsutum,Great willowherb,Epilobium,Onagraceae
epilobium-montanum,Epilobium montanum,Broadleaf willowherb,Epilobium,Onagraceae
epilobium-palustre,Epilobium palustre,Marsh willowherb,Epilobium,Onagraceae
epilobium-parviflorum,Epilobium parviflorum,Hoary willowherb,Epilobium,Onagraceae
epilobium-tetragonum,Epilobium tetragonum,Square-stemmed willowherb,Epilobium,Onagraceae
epipactis-helleborine,Epipactis helleborine,Broadleaf helleborine,Epipactis,Orchidaceae
equisetum-arvense,Equisetum arvense,Common horsetail,Equisetum,Equisetaceae
equisetum-fluviatile,Equisetum fluviatile,River horsetail,Equisetum,Equisetaceae
equisetum-palustre,Equisetum palustre,Marsh horsetail,Equisetum,Equisetaceae
equisetum-sylvaticum,Equisetum sylvaticum,Wood horsetail,Equisetum,Equisetaceae
erica-arborea,Erica arborea,Tree heath,Erica,Ericaceae
erica-tetralix,Erica tetralix,Bog-heather,Erica,Ericaceae
erigeron-annuus,Erigeron annuus,Daisy fleabane,Erigeron,Asteraceae
erigeron-canadensis,Erigeron canadensis,Horseweed,Erigeron,Asteraceae
eriodictyon-californicum,Eriodictyon californicum,,Eriodictyon,Boraginaceae
eriophorum-angustifolium,Eriophorum angustifolium,Common cotton-grass,Eriophorum,Cyperaceae
eriophorum-vaginatum,Eriophorum vaginatum,Tussock cotton-grass,Eriophorum,Cyperaceae
erodium-cicutarium,Erodium cicutarium,Redstem stork's bill,Erodium,Geraniaceae
eryngium-campestre,Eryngium campestre,Eryngo,Eryngium,Apiaceae
eryngium-maritimum,Eryngium maritimum,Eryngo,Eryngium,Apiaceae
erythrina-variegata,Erythrina variegata,Coraltree,Erythrina,Fabaceae
erythronium-americanum,Erythronium americanum,Trout-lily,Erythronium,Liliaceae
erythroxylum-coca,Erythroxylum coca,Coca,Erythroxylum,Erythroxylaceae
eschscholzia-californica,Eschscholzia californica,California-poppy,Eschscholzia,Papaveraceae
eucalyptus-globulus,Eucalyptus globulus,Blue gum,Eucalyptus,Myrtaceae
eucalyptus-smithii,Eucalyptus smithii,,Eucalyptus,Myrtaceae
eucommia-ulmoides,Eucommia ulmoides,Eucommia,Eucommia,Eucommiaceae
euonymus-atropurpureus,Euonymus atropurpureus,Bitter-ash,Euonymus,Celastraceae
euonymus-europaeus,Euonymus europaeus,Spindle,Euonymus,Celastraceae
eupatorium-cannabinum,Eupatorium cannabinum,Hemp-agrimony,Eupatorium,Asteraceae
eupatorium-perfoliatum,Eupatorium perfoliatum,Boneset,Eupatorium,Asteraceae
euphorbia-amygdaloides,Euphorbia amygdaloides,Wood spurge,Euphorbia,Euphorbiaceae
euphorbia-cyparissias,Euphorbia cyparissias,Cypress spurge,Euphorbia,Euphorbiaceae
euphorbia-helioscopia,Euphorbia helioscopia,Wolf's-milk,Euphorbia,Euphorbiaceae
euphorbia-hirta,Euphorbia hirta,Asthmaplant,Euphorbia,Euphorbiaceae
euphorbia-pekinensis,Euphorbia pekinensis,,Euphorbia,Euphorbiaceae
euphorbia-peplus,Euphorbia peplus,Radium-plant,Euphorbia,Euphorbiaceae
euphrasia-officinalis,Euphrasia officinalis,,Euphrasia,Orobanchaceae
euterpe-oleracea,Euterpe oleracea,Assai palm,Euterpe,Arecaceae
fagopyrum-esculentum,Fagopyrum esculentum,Silverhull buckwheat,Fagopyrum,Polygonaceae
fagus-sylvatica,Fagus sylvatica,Beech,Fagus,Fagaceae
fallopia-convolvulus,Fallopia convolvulus,Black bindweed,Fallopia,Polygonaceae
ferula-assa-foetida,Ferula assa-foetida,Assa-foetida,Ferula,Apiaceae
ferula-gummosa,Ferula gummosa,,Ferula,Apiaceae
festuca-arundinacea,Festuca arundinacea,Reed fescue,Festuca,Poaceae
festuca-ovina,Festuca ovina,Ovina,Festuca,Poaceae
festuca-pratensis,Festuca pratensis,Meadow fescue,Festuca,Poaceae
festuca-rubra,Festuca rubra,Red fescue,Festuca,Poaceae
ficus-benghalensis,Ficus benghalensis,,Ficus,Moraceae
filipendula-ulmaria,Filipendula ulmaria,Meadowsweet,Filipendula,Rosaceae
foeniculum-vulgare,Foeniculum vulgare,Fennel,Foeniculum,Apiaceae
forsythia-suspensa,Forsythia suspensa,Forsythia,Forsythia,Oleaceae
fragaria-vesca,Fragaria vesca,Alpine strawberry,Fragaria,Rosaceae
frangula-alnus,Frangula alnus,Alder buckthorn,Frangula,Rhamnaceae
fraxinus-excelsior,Fraxinus excelsior,European ash,Fraxinus,Oleaceae
fumaria-officinalis,Fumaria officinalis,Common fumitory,Fumaria,Papaveraceae
galega-officinalis,Galega officinalis,Goat's-rue,Galega,Fabaceae
galeopsis-tetrahit,Galeopsis tetrahit,Common hemp-nettle,Galeopsis,Lamiaceae
galium-album,Galium album,White bedstraw,Galium,Rubiaceae
galium-aparine,Galium aparine,Cleavers,Galium,Rubiaceae
galium-boreale,Galium boreale,Northern bedstraw,Galium,Rubiaceae
galium-mollugo,Galium mollugo,Hedge bedstraw,Galium,Rubiaceae
galium-odoratum,Galium odoratum,Woodruff,Galium,Rubiaceae
galium-palustre,Galium palustre,Common marsh bedstraw,Galium,Rubiaceae
