"entity"|"domain"|"kingdom"|"phylum"|"class"|"order"|"family"|"genus"|"species"
"commiphora-molmol"|"eukarya"|"plantae"|"tracheophyta"|"magnoliopsida"|"asterales"|"asteraceae"|"aloe"|"barbadensis"
"corydalis-yanhusuo"|"eukarya"|"plantae"|"tracheophyta"|"magnoliopsida"|"solanales"|"papaveraceae"|"corydalis"|"yanhusuo"
"crataegus-oxyacantha"|"eukarya"|"plantae"|"tracheophyta"|"magnoliopsida"|"sapindales"|"rosaceae"|"crataegus"|"oxyacantha"
"crocus-sativa"|"eukarya"|"plantae"|"tracheophyta"|"magnoliopsida"|"asterales"|"iridaceae"|"crocus"|"sativa"
"dioscorea-villosa"|"eukarya"|"plantae"|"tracheophyta"|"magnoliopsida"|"sapindales"|"dioscoreaceae"|"dioscorea"|"villosa"
"echinacea-angustifolia"|"eukarya"|"plantae"|"tracheophyta"|"magnoliopsida"|"solanales"|"solanaceae"|"nicotiana"|"tabacum"
"elettaria-cardamomum"|"eukarya"|"plantae"|"tracheophyta"|"magnoliopsida"|"lamiales"|"apiaceae"|"elettaria"|"cardamomum"
"eugenia-caryophyllata"|"eukarya"|"plantae"|"tracheophyta"|"magnoliopsida"|"sapindales"|"lauraceae"|"eugenia"|"caryophyllata"
"filipendula-ulmaria"|"eukarya"|"plantae"|"tracheophyta"|"magnoliopsida"|"rosales"|"rosaceae"|"filipendula"|"ulmaria"
"gentiana-lutea"|"eukarya"|"plantae"|"tracheophyta"|"magnoliopsida"|"asterales"|"gentianaceae"|"gentiana"|"lutea"
"ginkgo-biloba"|"eukarya"|"plantae"|"tracheophyta"|"magnoliopsida"|"sapindales"|"ginkgaceae"|"ginkgo"|"biloba"
"hamamelis-virginiana"|"eukarya"|"plantae"|"tracheophyta"|"magnoliopsida"|"sapindales"|"hamamelidaceae"|"hamamelis"|"virginiana"
"harpagophytum-procumbens"|"eukarya"|"plantae"|"tracheophyta"|"magnoliopsida"|"fabales"|"harpagophaeaceae"|"harpagophytum"|"procumbens"
"hydrastis-canadensis"|"eukarya"|"plantae"|"tracheophyta"|"magnoliopsida"|"lamiales"|"actinidiaceae"|"hydrastis"|"canadensis"
"bupleurum-chinense"|"eukarya"|"plantae"|"tracheophyta"|"magnoliopsida"|"asterales"|"apiaceae"|"bupleurum"|"chinense"
"codonopsis-pilosula"|"eukarya"|"plantae"|"tracheophyta"|"magnoliopsida"|"fabales"|"fabaceae"|"codonopsis"|"pilosula"
"coleus-forskohlii"|"eukarya"|"plantae"|"tracheophyta"|"magnoliopsida"|"asterales"|"lamiaceae"|"coleus"|"forskohlii"
"crataeva-nurvula"|"eukarya"|"plantae"|"tracheophyta"|"magnoliopsida"|"sapindales"|"crataevaceae"|"crataeva"|"nurvula"
"curcuma-longa"|"eukarya"|"plantae"|"tracheophyta"|"magnoliopsida"|"zingiberales"|"zingiberaceae"|"curcuma"|"longa"
"eleutherococcus-senticosus"|"eukarya"|"plantae"|"tracheophyta"|"magnoliopsida"|"sapindales"|"rutaceae"|"eleutherococcus"|"senticosus"
"glycyrrhiza-glabra"|"eukarya"|"plantae"|"magnoliophyta"|"lamiopsida"|"apioales"|"fabaceae"|"glycyrrhiza"|"glabra"
"barosma-betulina"|"eukarya"|"plantae"|"magnoliophyta"|"magnoliopsida"|"asterales"|"apocynaceae"|"barosma"|"betulina"
"ephedra-sinica"|"eukarya"|"plantae"|"tracheophyta"|"magnoliopsida"|"asterales"|"ephedraceae"|"ephedra"|"sinica"
"humulus-lupulus"|"eukarya"|"plantae"|"tracheophyta"|"magnoliopsida"|"asterales"|"cannabaceae"|"humulus"|"lupulus"
"eucalyptus-globulus"|"eukarya"|"plantae"|"tracheophyta"|"magnoliopsida"|"sapindales"|"myrtaceae"|"eucalyptus"|"globulus"
hypericum-perforatum|eukarya|plantae|tracheophyta|magnoliopsida|asterales|hypericaceae|hypericum|hypericum perforatum
inula-helenium|eukarya|plantae|tracheophyta|magnoliopsida|asterales|asteraceae|inula|inula helenium
lavandula-angustifolia|eukarya|plantae|tracheophyta|magnoliopsida|lamiales|verbenaceae|lavandula|angustifolia
linum-usitatissimum|eukarya|plantae|tracheophyta|magnoliopsida|linales|linaceae|linum|usitatissimum
lobelia-inflata|eukarya|plantae|tracheophyta|magnoliopsida|lamiales|lobeliaceae|lobelia|inflata
lycium-chinense|eukarya|plantae|tracheophyta|magnoliopsida|solanales|solanaceae|lycium|chinense
melaleuca-alternifolia|eukarya|plantae|tracheophyta|magnoliopsida|lamiales|myrtaceae|melaleuca|alternifolia
melissa-officinalis|eukarya|plantae|tracheophyta|magnoliopsida|asterales|apiaceae|melissa|officinalis
mentha-x-piperita|eukarya|plantae|tracheophyta|magnoliopsida|lamiales|lamiaceae|mentha|x-piperita
myristica-fragrans|eukarya|plantae|tracheophyta|magnoliopsida|sapindales|myristicaceae|myristica|fragrans
ocimum-tenuiflorum|eukarya|plantae|tracheophyta|magnoliopsida|linales|lamiaceae|ocimum|tenuiflorum
paeonia-lactiflora|eukarya|plantae|tracheophyta|magnoliopsida|sapindales|rosaceae|paeonia|lactiflora
panax-ginseng|eukarya|plantae|tracheophyta|magnoliopsida|sapindales|araliaceae|panax|ginseng
passiflora-incarnata|eukarya|plantae|tracheophyta|magnoliopsida|asterales|passifloraceae|passiflora|incarnata
pelargonium-sidoides|eukarya|plantae|tracheophyta|magnoliopsida|asterales|geraniaceae|pelargonium|pelargonium sidoides
persea-americana|eukarya|plantae|tracheophyta|magnoliopsida|lauralales|lauraceae|persea|persea americana
piper-methysticum|eukarya|plantae|tracheophyta|magnoliopsida|sapindales|rutaceae|piper|methysticum
plantago-lanceolata|eukarya|plantae|tracheophyta|magnoliopsida|asterales|plantaginaceae|plantago|lanceolata
polygonum-multiflorum|eukarya|plantae|tracheophyta|magnoliopsida|asterales|polygonaceae|fo ti|fo ti
rehmannia-glutinosa|eukarya|plantae|tracheophyta|magnoliopsida|solanales|scrophulariaceae|rehmannia|r. glutinosa
